,HOW TO DOWNLOAD THIS SPREADSHEET: CLICK FILE > DOWNLOAD AS,,,,,,,,,,,
Ranking,Institution,Uni group,Hesa  code,Average Teaching Score,NSS Teaching (%),NSS Overall (%),Expenditure per student / 10,Student:staff ratio,Career prospects (%),Value added score/10,Entry Tariff,NSS Feedback (%)
na → 101 → 110,Trinity Saint David,,176,38.9,84,81,4.3,18.8,43,2.4,246,66
99 → 114 → 111,Newport,University Alliance,86,38.8,81,76,4.1,24.8,46,3.0,259,72
101 → 102 → 112,Leeds Met,Million+,64,37.1,79,77,3.3,19.5,49,4.1,262,63
110 → 84 → 113,Leeds Trinity University College,Guild HE,40,36.8,85,83,2.0,23.9,62,1.9,264,73
na → 117 → 114,UC Suffolk,,210,36.2,81,74,,19.0,48,2.2,263,69
117 → 115 → 115,East London,Million+,58,34.7,82,81,3.3,23.7,45,3.8,195,69
113 → 112 → 116,Bucks New University,Million +,9,32.4,79,74,3.9,23.3,47,3.3,230,70
115 → 112 → 117,Southampton Solent,Million + ,37,31.2,76,72,3.4,21.2,40,2.4,265,62
118 → 119 → 118,London Met,Million+,202,30.5,76,73,2.9,19.2,42,6.0,224,58
110 → 106 → 119,Abertay Dundee,Million+,95,30.2,,,2.1,25.2,47,4.9,277,
116 → 116 → 120,Bolton,Million +,49,28.9,81,79,3.1,19.6,34,3.1,231,67
